year,Time Code,Country Name,ccode,corruption,regulatory
2022,YR2022,Haiti,HTI,-1.45903766155243,-1.31438434123993
2022,YR2022,Honduras,HND,-1.00207138061523,-0.485292732715607
2022,YR2022,"Hong Kong SAR, China",HKG,1.61064612865448,1.58980143070221
2022,YR2022,Hungary,HUN,-0.103074185550213,0.406537681818008
2022,YR2022,Iceland,ISL,1.56752812862396,1.30729651451111
2022,YR2022,India,IND,-0.321810871362686,-0.0504464171826839
2022,YR2022,Indonesia,IDN,-0.434910655021667,0.205959960818291
2022,YR2022,"Iran, Islamic Rep.",IRN,-1.12637281417847,-1.59271132946014
2022,YR2022,Iraq,IRQ,-1.21293413639069,-1.18048512935638
2022,YR2022,Ireland,IRL,1.67444837093353,1.63956081867218
2022,YR2022,Israel,ISR,0.781038999557495,1.20628762245178
2022,YR2022,Italy,ITA,0.52778172492981,0.510931491851807
2022,YR2022,Jamaica,JAM,-0.0233815424144268,0.190213531255722
2022,YR2022,Japan,JPN,1.53997182846069,1.43877255916595
2022,YR2022,"Jersey, Channel Islands",JEY,1.02883803844452,0.9770467877388
2022,YR2022,Jordan,JOR,0.0730471760034561,0.156793341040611
2022,YR2022,Kazakhstan,KAZ,-0.185301154851913,-0.0112340543419123
2022,YR2022,Kenya,KEN,-0.759701311588287,-0.380829960107803
2022,YR2022,Kiribati,KIR,0.236564710736275,-0.261825948953629
2022,YR2022,"Korea, Dem. People's Rep.",PRK,-1.60609889030457,-2.39301609992981
2022,YR2022,"Korea, Rep.",KOR,0.748461604118347,1.1452225446701
2022,YR2022,Kosovo,XKX,-0.263794988393784,-0.389362215995789
2022,YR2022,Kuwait,KWT,0.127030700445175,0.21008063852787
2022,YR2022,Kyrgyz Republic,KGZ,-1.23002862930298,-0.63258820772171
2022,YR2022,Lao PDR,LAO,-0.96577912569046,-0.987142562866211
2022,YR2022,Latvia,LVA,0.693852961063385,1.17088675498962
2022,YR2022,Lebanon,LBN,-1.1268949508667,-1.13251137733459
2022,YR2022,Lesotho,LSO,-0.357248216867447,-0.615311503410339
2022,YR2022,Liberia,LBR,-0.926501333713531,-0.980886161327362
2022,YR2022,Libya,LBY,-1.5259792804718,-2.08934807777405
2022,YR2022,Liechtenstein,LIE,1.71432709693909,1.62934851646423
2022,YR2022,Lithuania,LTU,0.747045457363129,1.29888129234314
2022,YR2022,Luxembourg,LUX,1.88360249996185,1.83396697044373
