year,Time Code,Country Name,ccode,gdp_per_capita,gdp
2015,YR2015,"Yemen, Rep.",YEM,1488.4162886442,42444490073.8555
2015,YR2015,Zambia,ZMB,1307.90964916032,21251216798.7762
2015,YR2015,Zimbabwe,ZWE,1410.32917348908,19963120600
2015,YR2015,Africa Eastern and Southern,AFE,1498.80508358802,899295676086.836
2015,YR2015,Africa Western and Central,AFW,1882.51880807768,769367317617.821
2015,YR2015,Arab World,ARB,6258.60722652973,2544136348540.18
2015,YR2015,Caribbean small states,CSS,11629.1207744449,34538256117.6859
2015,YR2015,Central Europe and the Baltics,CEB,12528.0826430876,1293623329358.52
2015,YR2015,Early-demographic dividend,EAR,3234.22594362502,10237020101449.3
2015,YR2015,East Asia & Pacific,EAS,9586.05662481986,21995274219766.7
2015,YR2015,East Asia & Pacific (excluding high income),EAP,6499.96372015715,13323235973753
2015,YR2015,East Asia & Pacific (IDA & IBRD countries),TEA,6572.88955264077,13306887306272.5
2015,YR2015,Euro area,EMU,34118.3659418664,11727106023830.5
2015,YR2015,Europe & Central Asia,ECS,22579.1836978638,20481460301210.5
2015,YR2015,Europe & Central Asia (excluding high income),ECA,6312.15034167041,1507646946545.93
2015,YR2015,Europe & Central Asia (IDA & IBRD countries),TEC,8014.50415079485,3627947465522.13
2015,YR2015,European Union,EUU,30487.6523692732,13553897260141
2015,YR2015,Fragile and conflict affected situations,FCS,1845.31230428842,1617323277101.47
2015,YR2015,Heavily indebted poor countries (HIPC),HPC,917.721459685355,667302120360.803
2015,YR2015,High income,HIC,36482.9965260467,49773105280474.1
2015,YR2015,IBRD only,IBD,5541.33759395986,25838353087075.7
2015,YR2015,IDA & IBRD total,IBT,4484.4893837025,27987288576613.1
2015,YR2015,IDA blend,IDB,1993.78936181267,1054056007822.38
2015,YR2015,IDA only,IDX,1042.15535457657,1093640032209.07
2015,YR2015,IDA total,IDA,1360.96217666755,2147696040031.45
2015,YR2015,Late-demographic dividend,LTE,8212.74329215127,18550881244486
2015,YR2015,Latin America & Caribbean,LCN,8719.62575346093,5418289197382.3
2015,YR2015,Latin America & Caribbean (excluding high income),LAC,8297.30225777455,4634564315170.45
2015,YR2015,Latin America & the Caribbean (IDA & IBRD countries),TLA,8577.804211342,5194835549016.91
2015,YR2015,Least developed countries: UN classification,LDC,968.123889466947,920864864683.309
2015,YR2015,Low & middle income,LMY,4214.45758022272,25326526306958.9
