,country,year,ccode,start,end,group_visit,group_order,group_id,leader,leader_id,office,url,last_accessed,meeting,note
345,Lao People's Dem.Rep,2012,LAO,November 4 2012,November 6 2012,0.0,1.0,47.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-11/04/content_2257461.htm,January 16 2022,Asia-Europe Meeting,
346,Cambodia,2012,KHM,November 18 2012,November 20 2012,1.0,1.0,48.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-11/18/content_2269191.htm,January 16 2022,ASEAN,
347,Thailand,2012,THA,November 20 2012,November 21 2012,1.0,2.0,48.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-11/20/content_2271626.htm,January 16 2022,,
348,Kyrgyz Republic,2012,KGZ,December 4 2012,December 5 2012,1.0,1.0,49.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/jrzg/2012-12/04/content_2282342.htm,January 16 2022,Shanghai Cooperation Organisation,
349,Russian Federation,2012,RUS,December 5 2012,December 6 2012,1.0,2.0,49.0,Wen Jiabao,2.0,Premier,http://www.gov.cn/ldhd/2012-12/06/content_2283576.htm,January 16 2022,,
350,India,2013,IND,May 19 2013,May 22 2013,1.0,1.0,50.0,Li Keqiang,3.0,Premier,http://www.gov.cn/ldhd/2013-05/19/content_2406280.htm,January 16 2022,,
351,Pakistan,2013,PAK,May 22 2013,May 23 2013,1.0,2.0,50.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2013-05/22/content_2591478.htm,January 16 2022,,
352,Switzerland,2013,CHE,May 23 2013,May 25 2013,1.0,3.0,50.0,Li Keqiang,3.0,Premier,http://www.gov.cn/ldhd/2013-05/24/content_2410147.htm,January 16 2022,,
353,Germany,2013,DEU,May 25 2013,May 27 2013,1.0,4.0,50.0,Li Keqiang,3.0,Premier,http://www.gov.cn/ldhd/2013-05/26/content_2411401.htm,January 16 2022,,
354,Brunei Darussalam,2013,BRN,October 9 2013,October 11 2013,1.0,1.0,51.0,Li Keqiang,3.0,Premier,http://www.gov.cn/ldhd/2013-10/09/content_2502988.htm,January 16 2022,ASEAN,
355,Thailand,2013,THA,October 11 2013,October 13 2013,1.0,2.0,51.0,Li Keqiang,3.0,Premier,http://www.gov.cn/ldhd/2013-10/11/content_2504576.htm,January 16 2022,,
356,Vietnam,2013,VNM,October 13 2013,October 15 2013,1.0,3.0,51.0,Li Keqiang,3.0,Premier,http://www.gov.cn/ldhd/2013-10/13/content_2505917.htm,January 16 2022,,
357,Romania,2013,ROU,November 25 2013,November 28 2013,0.0,1.0,52.0,Li Keqiang,3.0,Premier,http://www.gov.cn/ldhd/2013-11/25/content_2534287.htm,January 16 2022,Cooperation between China and Central and Eastern European Countries,
358,Ethiopia,2014,ETH,May 4 2014,May 6 2014,1.0,1.0,53.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2014-05/04/content_2671246.htm,January 16 2022,,
359,Nigeria,2014,NGA,May 6 2014,May 8 2014,1.0,2.0,53.0,Li Keqiang,3.0,Premier,https://www.fmprc.gov.cn/ce/cgsf/chn/zgxw/t1153281.htm,January 16 2022,World Economic Forum on Africa,
360,Angola,2014,AGO,May 8 2014,May 9 2014,1.0,3.0,53.0,Li Keqiang,3.0,Premier,https://www.fmprc.gov.cn/chn/pds/wjb/zzjg/fzs/xwlb/t1154143.htm,January 16 2022,,
361,Kenya,2014,KEN,May 9 2014,May 11 2014,1.0,4.0,53.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2014-05/11/nw.D110000gmrb_20140511_5-03.htm,January 16 2022,,
362,United Kingdom,2014,GBR,June 16 2014,June 19 2014,1.0,1.0,54.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2014-06/17/content_2701993.htm,January 16 2022,,
363,Greece,2014,GRC,June 19 2014,June 21 2014,1.0,2.0,54.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2014-06/19/content_2704586.htm,January 16 2022,,
364,Germany,2014,DEU,October 9 2014,October 12 2014,1.0,1.0,55.0,Li Keqiang,3.0,Premier,https://www.mfa.gov.cn/ce/cohk/chn/xwdt/wsyw/t1199141.htm,January 16 2022,,
365,Russian Federation,2014,RUS,October 12 2014,October 14 2014,1.0,2.0,55.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2014-10/12/content_2763559.htm,January 16 2022,,
366,Italy,2014,ITA,October 14 2014,October 18 2014,1.0,3.0,55.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2014-10/15/nw.D110000gmrb_20141015_1-03.htm,January 16 2022,Asia-Europe Meeting,
367,Myanmar,2014,MMR,November 12 2014,November 14 2014,0.0,1.0,56.0,Li Keqiang,3.0,Premier,http://www.gov.cn/xinwen/2014-11/13/content_2777635.htm,January 16 2022,ASEAN,
368,Kazakhstan,2014,KAZ,December 14 2014,December 15 2014,1.0,1.0,57.0,Li Keqiang,3.0,Premier,http://www.gov.cn/xinwen/2014-12/15/content_2791072.htm,January 16 2022,Shanghai Cooperation Organisation,
369,"Serbia, Republic of",2014,SRB,December 15 2014,December 18 2014,1.0,2.0,57.0,Li Keqiang,3.0,Premier,http://politics.people.com.cn/n/2014/1216/c1001-26216301.html,January 16 2022,Cooperation between China and Central and Eastern European Countries,
370,Switzerland,2015,CHE,January 20 2015,January 22 2015,0.0,1.0,58.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2015-01/21/nw.D110000gmrb_20150121_1-03.htm,January 16 2022,Davos,
371,Brazil,2015,BRA,May 18 2015,May 21 2015,1.0,1.0,59.0,Li Keqiang,3.0,Premier,http://www.gov.cn/xinwen/2015-05/19/content_2864546.htm,January 16 2022,,
372,Colombia,2015,COL,May 21 2015,May 22 2015,1.0,2.0,59.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2015-05/23/nw.D110000gmrb_20150523_3-03.htm,January 16 2022,,
373,Peru,2015,PER,May 22 2015,May 24 2015,1.0,3.0,59.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2015-05/23/content_2867386.htm,January 16 2022,,
374,Chile,2015,CHL,May 24 2015,May 26 2015,1.0,4.0,59.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2015-05/26/nw.D110000gmrb_20150526_1-03.htm,January 16 2022,,
375,France,2015,FRA,June 29 2015,July 2 2015,0.0,1.0,60.0,Li Keqiang,3.0,Premier,http://www.gov.cn/xinwen/2015-06/30/content_2887293.htm,January 16 2022,,
376,"Korea, Republic of",2015,KOR,October 31 2015,November 2 2015,0.0,1.0,61.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2015-11/01/nw.D110000gmrb_20151101_5-03.htm,January 16 2022,China-Japan-South Korea Trilateral Summit,
377,Malaysia,2015,MYS,November 20 2015,November 23 2015,0.0,1.0,62.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2015-11/21/nw.D110000gmrb_20151121_1-03.htm,January 16 2022,ASEAN,
378,Mongolia,2016,MNG,July 13 2016,July 16 2016,0.0,1.0,63.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2016-07/13/content_5090962.htm,January 16 2022,Asia-Europe Meeting,
379,Lao People's Dem.Rep,2016,LAO,September 6 2016,September 9 2016,0.0,1.0,64.0,Li Keqiang,3.0,Premier,http://www.gov.cn/xinwen/2016-09/07/content_5106084.htm,January 16 2022,ASEAN,
380,Canada,2016,CAN,September 21 2016,September 24 2016,1.0,1.0,65.0,Li Keqiang,3.0,Premier,https://www.fmprc.gov.cn/ce/cgsf/chn/zgxw/t1399456.htm,January 16 2022,,
381,Cuba,2016,CUB,September 24 2016,September 26 2016,1.0,2.0,65.0,Li Keqiang,3.0,Premier,http://www.gov.cn/xinwen/2016-09/25/content_5111837.htm,January 16 2022,,
382,Kyrgyz Republic,2016,KGZ,November 2 2016,November 3 2016,1.0,1.0,66.0,Li Keqiang,3.0,Premier,http://politics.people.com.cn/n1/2016/1101/c1001-28825571.html,January 16 2022,Shanghai Cooperation Organisation,
383,Kazakhstan,2016,KAZ,November 3 2016,November 4 2016,1.0,2.0,66.0,Li Keqiang,3.0,Premier,https://www.fmprc.gov.cn/ce/ceka/chn/zhgx/t1412685.htm,January 16 2022,,
384,Latvia,2016,LVA,November 4 2016,November 6 2016,1.0,3.0,66.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2016-11/05/nw.D110000gmrb_20161105_8-02.htm,January 16 2022,Cooperation between China and Central and Eastern European Countries,
385,Russian Federation,2016,RUS,November 6 2016,November 8 2016,1.0,4.0,66.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2016-11/07/content_5129708.htm,January 16 2022,,
386,Australia,2017,AUS,March 22 2017,March 26 2017,1.0,1.0,67.0,Li Keqiang,3.0,Premier,https://news.gmw.cn/2017-03/23/content_24035598.htm,January 16 2022,,
387,New Zealand,2017,NZL,March 26 2017,March 29 2017,1.0,2.0,67.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2017-03/27/nw.D110000gmrb_20170327_2-03.htm,January 16 2022,,
388,Germany,2017,DEU,May 31 2017,June 1 2017,1.0,1.0,68.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2017-06/01/nw.D110000gmrb_20170601_1-03.htm,January 16 2022,,
389,Belgium,2017,BEL,June 1 2017,June 2 2017,1.0,2.0,68.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2017-06/03/nw.D110000gmrb_20170603_1-02.htm,January 16 2022,China-EU Summit,
390,Philippines,2017,PHL,November 12 2017,November 16 2017,0.0,1.0,69.0,Li Keqiang,3.0,Premier,http://china.chinadaily.com.cn/2017-11/13/content_34462487.htm,January 16 2022,ASEAN,
391,Hungary,2017,HUN,November 26 2017,November 29 2017,0.0,1.0,70.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2017-11/27/nw.D110000gmrb_20171127_1-03.htm,January 16 2022,Cooperation between China and Central and Eastern European Countries,
392,Cambodia,2018,KHM,January 10 2018,January 11 2018,0.0,1.0,71.0,Li Keqiang,3.0,Premier,https://epaper.gmw.cn/gmrb/html/2018-01/11/nw.D110000gmrb_20180111_1-03.htm,January 16 2022,Lancang-Mekong Cooperation,
393,Indonesia,2018,IDN,May 6 2018,May 8 2018,1.0,1.0,72.0,Li Keqiang,3.0,Premier,https://news.gmw.cn/2018-05/07/content_28654748.htm,January 16 2022,,
394,Japan,2018,JPN,May 8 2018,May 11 2018,1.0,2.0,72.0,Li Keqiang,3.0,Premier,https://politics.gmw.cn/2018-05/09/content_28693444.htm,January 16 2022,China-Japan-South Korea Trilateral Summit,
395,Bulgaria,2018,BGR,July 5 2018,July 8 2018,1.0,1.0,73.0,Li Keqiang,3.0,Premier,https://news.gmw.cn/2018-07/06/content_29695709.htm,January 16 2022,Cooperation between China and Central and Eastern European Countries,
396,Germany,2018,DEU,July 8 2018,July 10 2018,1.0,2.0,73.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2018-07/09/content_5304827.htm,January 16 2022,,
397,Tajikistan,2018,TJK,October 11 2018,October 14 2018,1.0,1.0,74.0,Li Keqiang,3.0,Premier,http://www.gov.cn/xinwen/2018-10/12/content_5329748.htm,January 16 2022,Shanghai Cooperation Organisation,
398,Netherlands,2018,NLD,October 14 2018,October 16 2018,1.0,2.0,74.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2018-10/14/content_5330706.htm,January 16 2022,,
399,Belgium,2018,BEL,October 16 2018,October 19 2018,1.0,3.0,74.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2018-10/17/content_5331653.htm,January 16 2022,Asia-Europe Meeting,
400,Singapore,2018,SGP,November 12 2018,November 16 2018,0.0,1.0,75.0,Li Keqiang,3.0,Premier,http://www.gov.cn/guowuyuan/2018-11/12/content_5339664.htm,January 16 2022,ASEAN,
401,Croatia,2019,HRV,April 9 2019,April 12 2019,0.0,1.0,76.0,Li Keqiang,3.0,Premier,http://www.xinhuanet.com/politics/leaders/2019-04/10/c_1124345723.htm,January 16 2022,Cooperation between China and Central and Eastern European Countries,
402,Russian Federation,2019,RUS,September 16 2019,September 18 2019,0.0,1.0,77.0,Li Keqiang,3.0,Premier,http://www.xinhuanet.com/politics/leaders/2019-09/16/c_1125002379.htm,January 16 2022,,
403,Uzbekistan,2019,UZB,November 1 2019,November 2 2019,1.0,1.0,78.0,Li Keqiang,3.0,Premier,http://www.gov.cn/xinwen/2019-11/02/content_5447851.htm,January 16 2022,Shanghai Cooperation Organisation,
404,Thailand,2019,THA,November 2 2019,November 5 2019,1.0,2.0,78.0,Li Keqiang,3.0,Premier,http://www.xinhuanet.com/politics/leaders/2019-11/02/c_1125185416.htm,January 16 2022,ASEAN,
